# Temperature (C), Mass Fraction
1.1703e+02,9.9971e-01
1.1720e+02,9.9999e-01
1.1737e+02,9.9983e-01
1.1753e+02,1.0001e+00
1.1770e+02,9.9910e-01
1.1787e+02,9.9977e-01
1.1803e+02,9.9959e-01
1.1820e+02,1.0001e+00
1.1837e+02,1.0000e+00
1.1853e+02,9.9982e-01
1.1870e+02,9.9964e-01
1.1887e+02,9.9957e-01
1.1903e+02,9.9914e-01
1.1920e+02,9.9951e-01
1.1937e+02,1.0005e+00
1.1953e+02,1.0002e+00
1.1970e+02,1.0001e+00
1.1987e+02,9.9984e-01
1.2003e+02,9.9963e-01
1.2020e+02,9.9897e-01
1.2037e+02,1.0002e+00
1.2053e+02,1.0006e+00
1.2070e+02,1.0002e+00
1.2087e+02,1.0005e+00
1.2103e+02,1.0004e+00
1.2120e+02,9.9933e-01
1.2137e+02,1.0003e+00
1.2153e+02,1.0002e+00
1.2170e+02,9.9955e-01
1.2187e+02,9.9982e-01
1.2203e+02,9.9984e-01
1.2220e+02,1.0007e+00
1.2237e+02,9.9981e-01
1.2253e+02,1.0001e+00
1.2270e+02,1.0003e+00
1.2287e+02,1.0006e+00
1.2303e+02,9.9953e-01
1.2320e+02,1.0000e+00
1.2337e+02,1.0006e+00
1.2353e+02,1.0003e+00
1.2370e+02,1.0003e+00
1.2387e+02,9.9988e-01
1.2403e+02,1.0000e+00
1.2420e+02,1.0001e+00
1.2437e+02,1.0003e+00
1.2453e+02,1.0009e+00
1.2470e+02,1.0003e+00
1.2487e+02,9.9973e-01
1.2503e+02,1.0006e+00
1.2520e+02,9.9993e-01
1.2537e+02,9.9939e-01
1.2553e+02,9.9947e-01
1.2570e+02,1.0002e+00
1.2587e+02,1.0002e+00
1.2604e+02,1.0001e+00
1.2620e+02,9.9999e-01
1.2637e+02,9.9972e-01
1.2654e+02,9.9954e-01
1.2670e+02,1.0004e+00
1.2687e+02,9.9939e-01
1.2704e+02,9.9952e-01
1.2720e+02,9.9943e-01
1.2737e+02,9.9932e-01
1.2754e+02,1.0003e+00
1.2770e+02,9.9940e-01
1.2787e+02,9.9989e-01
1.2804e+02,9.9922e-01
1.2820e+02,9.9981e-01
1.2837e+02,1.0002e+00
1.2854e+02,9.9887e-01
1.2870e+02,9.9924e-01
1.2887e+02,1.0001e+00
1.2904e+02,9.9995e-01
1.2920e+02,1.0006e+00
1.2937e+02,1.0003e+00
1.2954e+02,9.9968e-01
1.2970e+02,1.0000e+00
1.2987e+02,1.0002e+00
1.3004e+02,9.9980e-01
1.3020e+02,9.9965e-01
1.3037e+02,1.0001e+00
1.3054e+02,1.0004e+00
1.3070e+02,9.9915e-01
1.3087e+02,1.0001e+00
1.3104e+02,1.0009e+00
1.3120e+02,9.9976e-01
1.3137e+02,9.9995e-01
1.3154e+02,9.9960e-01
1.3170e+02,9.9957e-01
1.3187e+02,1.0004e+00
1.3204e+02,1.0003e+00
1.3220e+02,1.0007e+00
1.3237e+02,9.9973e-01
1.3254e+02,9.9998e-01
1.3270e+02,9.9981e-01
1.3287e+02,9.9950e-01
1.3304e+02,1.0006e+00
1.3320e+02,9.9983e-01
1.3337e+02,9.9982e-01
1.3354e+02,1.0001e+00
1.3370e+02,9.9995e-01
1.3387e+02,9.9974e-01
1.3404e+02,9.9946e-01
1.3420e+02,9.9949e-01
1.3437e+02,1.0001e+00
1.3454e+02,1.0004e+00
1.3470e+02,1.0004e+00
1.3487e+02,1.0001e+00
1.3504e+02,9.9925e-01
1.3520e+02,1.0002e+00
1.3537e+02,1.0005e+00
1.3554e+02,9.9962e-01
1.3570e+02,1.0002e+00
1.3587e+02,1.0002e+00
1.3604e+02,1.0001e+00
1.3620e+02,9.9972e-01
1.3637e+02,1.0003e+00
1.3654e+02,1.0000e+00
1.3670e+02,9.9938e-01
1.3687e+02,1.0002e+00
1.3704e+02,1.0009e+00
1.3720e+02,1.0001e+00
1.3737e+02,1.0012e+00
1.3754e+02,9.9991e-01
1.3770e+02,1.0005e+00
1.3787e+02,1.0007e+00
1.3804e+02,1.0001e+00
1.3820e+02,9.9953e-01
1.3837e+02,9.9963e-01
1.3854e+02,9.9987e-01
1.3870e+02,9.9892e-01
1.3887e+02,1.0003e+00
1.3904e+02,9.9990e-01
1.3920e+02,1.0009e+00
1.3937e+02,9.9924e-01
1.3954e+02,1.0000e+00
1.3970e+02,1.0004e+00
1.3987e+02,9.9948e-01
1.4004e+02,1.0001e+00
1.4020e+02,1.0004e+00
1.4037e+02,1.0000e+00
1.4054e+02,1.0007e+00
1.4070e+02,9.9972e-01
1.4087e+02,9.9973e-01
1.4104e+02,1.0004e+00
1.4120e+02,1.0005e+00
1.4137e+02,1.0007e+00
1.4154e+02,1.0007e+00
1.4170e+02,1.0008e+00
1.4187e+02,1.0014e+00
1.4204e+02,1.0000e+00
1.4220e+02,9.9981e-01
1.4237e+02,9.9929e-01
1.4254e+02,1.0003e+00
1.4270e+02,9.9994e-01
1.4287e+02,9.9921e-01
1.4304e+02,9.9974e-01
1.4320e+02,9.9853e-01
1.4337e+02,9.9995e-01
1.4354e+02,1.0006e+00
1.4370e+02,1.0008e+00
1.4387e+02,1.0004e+00
1.4404e+02,9.9994e-01
1.4421e+02,1.0004e+00
1.4437e+02,9.9963e-01
1.4454e+02,1.0001e+00
1.4471e+02,9.9807e-01
1.4487e+02,9.9947e-01
1.4504e+02,9.9979e-01
1.4521e+02,1.0009e+00
1.4537e+02,9.9997e-01
1.4554e+02,1.0001e+00
1.4571e+02,9.9986e-01
1.4587e+02,9.9994e-01
1.4604e+02,9.9962e-01
1.4621e+02,9.9953e-01
1.4637e+02,9.9995e-01
1.4654e+02,1.0002e+00
1.4671e+02,1.0006e+00
1.4687e+02,1.0001e+00
1.4704e+02,1.0010e+00
1.4721e+02,1.0002e+00
1.4737e+02,1.0003e+00
1.4754e+02,1.0004e+00
1.4771e+02,9.9919e-01
1.4787e+02,1.0001e+00
1.4804e+02,9.9958e-01
1.4821e+02,1.0008e+00
1.4837e+02,9.9987e-01
1.4854e+02,9.9991e-01
1.4871e+02,9.9991e-01
1.4887e+02,1.0002e+00
1.4904e+02,9.9986e-01
1.4921e+02,9.9942e-01
1.4937e+02,1.0002e+00
1.4954e+02,1.0005e+00
1.4971e+02,9.9965e-01
1.4987e+02,1.0003e+00
1.5004e+02,9.9947e-01
1.5021e+02,9.9950e-01
1.5037e+02,1.0001e+00
1.5054e+02,9.9929e-01
1.5071e+02,1.0001e+00
1.5087e+02,9.9984e-01
1.5104e+02,9.9930e-01
1.5121e+02,9.9975e-01
1.5137e+02,9.9992e-01
1.5154e+02,9.9909e-01
1.5171e+02,9.9982e-01
1.5187e+02,9.9965e-01
1.5204e+02,9.9985e-01
1.5221e+02,9.9949e-01
1.5237e+02,9.9985e-01
1.5254e+02,9.9969e-01
1.5271e+02,9.9948e-01
1.5287e+02,9.9997e-01
1.5304e+02,9.9990e-01
1.5321e+02,9.9993e-01
1.5337e+02,9.9982e-01
1.5354e+02,9.9928e-01
1.5371e+02,9.9994e-01
1.5387e+02,1.0001e+00
1.5404e+02,1.0007e+00
1.5421e+02,1.0004e+00
1.5437e+02,9.9957e-01
1.5454e+02,1.0010e+00
1.5471e+02,9.9931e-01
1.5487e+02,1.0006e+00
1.5504e+02,9.9973e-01
1.5521e+02,1.0000e+00
1.5537e+02,9.9994e-01
1.5554e+02,1.0008e+00
1.5571e+02,9.9979e-01
1.5587e+02,9.9992e-01
1.5604e+02,1.0005e+00
1.5621e+02,1.0008e+00
1.5637e+02,9.9949e-01
1.5654e+02,9.9986e-01
1.5671e+02,1.0002e+00
1.5687e+02,9.9930e-01
1.5704e+02,9.9949e-01
1.5721e+02,1.0005e+00
1.5737e+02,9.9923e-01
1.5754e+02,1.0002e+00
1.5771e+02,1.0002e+00
1.5787e+02,9.9970e-01
1.5804e+02,9.9999e-01
1.5821e+02,9.9949e-01
1.5837e+02,9.9953e-01
1.5854e+02,1.0008e+00
1.5871e+02,1.0009e+00
1.5887e+02,9.9974e-01
1.5904e+02,9.9944e-01
1.5921e+02,9.9970e-01
1.5937e+02,1.0001e+00
1.5954e+02,1.0000e+00
1.5971e+02,9.9987e-01
1.5987e+02,9.9926e-01
1.6004e+02,1.0005e+00
1.6021e+02,9.9953e-01
1.6037e+02,1.0001e+00
1.6054e+02,9.9990e-01
1.6071e+02,1.0006e+00
1.6087e+02,9.9988e-01
1.6104e+02,1.0006e+00
1.6121e+02,1.0002e+00
1.6137e+02,1.0004e+00
1.6154e+02,9.9991e-01
1.6171e+02,9.9955e-01
1.6188e+02,1.0004e+00
1.6204e+02,9.9970e-01
1.6221e+02,1.0000e+00
1.6238e+02,1.0012e+00
1.6254e+02,9.9987e-01
1.6271e+02,9.9954e-01
1.6288e+02,9.9949e-01
1.6304e+02,9.9983e-01
1.6321e+02,9.9990e-01
1.6338e+02,1.0000e+00
1.6354e+02,1.0004e+00
1.6371e+02,9.9995e-01
1.6388e+02,9.9984e-01
1.6404e+02,1.0004e+00
1.6421e+02,9.9979e-01
1.6438e+02,1.0003e+00
1.6454e+02,9.9953e-01
1.6471e+02,1.0009e+00
1.6488e+02,9.9998e-01
1.6504e+02,1.0009e+00
1.6521e+02,1.0006e+00
1.6538e+02,1.0005e+00
1.6554e+02,1.0008e+00
1.6571e+02,1.0008e+00
1.6588e+02,1.0004e+00
1.6604e+02,9.9985e-01
1.6621e+02,9.9989e-01
1.6638e+02,1.0001e+00
1.6654e+02,1.0003e+00
1.6671e+02,1.0000e+00
1.6688e+02,1.0000e+00
1.6704e+02,1.0005e+00
1.6721e+02,9.9965e-01
1.6738e+02,9.9981e-01
1.6754e+02,9.9941e-01
1.6771e+02,1.0001e+00
1.6788e+02,9.9964e-01
1.6804e+02,1.0001e+00
1.6821e+02,9.9983e-01
1.6838e+02,9.9991e-01
1.6854e+02,1.0003e+00
1.6871e+02,9.9999e-01
1.6888e+02,9.9952e-01
1.6904e+02,9.9981e-01
1.6921e+02,9.9973e-01
1.6938e+02,9.9994e-01
1.6954e+02,1.0005e+00
1.6971e+02,9.9947e-01
1.6988e+02,9.9946e-01
1.7004e+02,1.0003e+00
1.7021e+02,9.9977e-01
1.7038e+02,1.0002e+00
1.7054e+02,1.0004e+00
1.7071e+02,1.0001e+00
1.7088e+02,9.9941e-01
1.7104e+02,1.0008e+00
1.7121e+02,9.9949e-01
1.7138e+02,9.9987e-01
1.7154e+02,9.9986e-01
1.7171e+02,1.0002e+00
